customer_id,name,type,company,business_id
1,Noah Laine,private,,
2,Noah Wagner,private,,
3,Felix Niemi,private,,
4,Julia Korhonen,private,,
5,Ella Virtanen,private,,
6,Mika Berg,private,,
7,Nora Becker,private,,
8,Lena Berg,private,,
9,Lucas Lehtinen,private,,
10,Felix Strom,private,,
11,Nora Laine,private,,
12,Nora Holm,private,,
13,Leo Korhonen,private,,
14,Felix Karlsson,private,,
15,Mia Strom,private,,
16,Lena Hansen,private,,
17,Lucas Lind,private,,
18,Elias Holm,private,,
19,Lena Virtanen,private,,
20,Mika Karlsson,private,,
21,Leo Niemi,private,,
22,Noah Lehtinen,private,,
23,Anna Fischer,private,,
24,Elias Virtanen,private,,
25,Sofia Holm,private,,
26,Nora Lind,private,,
27,Jonas Korhonen,private,,
28,Julia Karlsson,private,,
29,Julia Lind,private,,
30,Leo Lind,private,,
31,Mika Becker,private,,
32,Noah Wagner,private,,
33,Leo Lehtinen,private,,
34,Oliver Korhonen,private,,
35,Anna Karlsson,private,,
36,Emma Korhonen,private,,
37,Nora Laine,private,,
38,Ella Virtanen,private,,
39,Nora Virtanen,private,,
40,Mika Fischer,private,,
41,Elias Lind,private,,
42,Emma Berg,private,,
43,Sofia Korhonen,private,,
44,Ella Strom,private,,
45,Leo Virtanen,private,,
46,Nora Laine,private,,
47,Sofia Wagner,private,,
48,Oliver Meyer,private,,
49,Jonas Meyer,private,,
50,Noah Wagner,private,,
51,Mika Fischer,private,,
52,Lena Lind,private,,
53,Emma Berg,private,,
54,Noah Lehtinen,private,,
55,Elias Strom,private,,
56,Ella Lind,private,,
57,Lena Fischer,private,,
58,Mika Niemi,private,,
59,Mia Niemi,private,,
60,Mia Lehtinen,private,,
61,Anna Berg,private,,
62,Emma Hansen,private,,
63,Elias Laine,private,,
64,Lucas Niemi,private,,
65,Lena Meyer,private,,
66,Nora Karlsson,private,,
67,Nora Niemi,private,,
68,Felix Hansen,private,,
69,Noah Strom,private,,
70,Sofia Berg,private,,
71,Anna Korhonen,private,,
72,Noah Fischer,private,,
73,Nora Karlsson,private,,
74,Lena Becker,private,,
75,Lena Schneider,private,,
76,Mika Niemi,private,,
77,Oliver Holm,private,,
78,Julia Becker,private,,
79,Ella Wagner,private,,
80,Ella Virtanen,private,,
81,Anna Niemi,private,,
82,Lena Schneider,private,,
83,Anna Korhonen,private,,
84,Oliver Berg,private,,
85,Emma Schneider,private,,
86,Lucas Karlsson,private,,
87,Felix Holm,private,,
88,Ella Wagner,private,,
89,Lucas Laine,private,,
90,Anna Lind,private,,
91,Oliver Lind,private,,
92,Emma Fischer,private,,
93,Elias Lind,private,,
94,Emma Schneider,private,,
95,Julia Berg,private,,
96,Elias Meyer,private,,
97,Jonas Lehtinen,private,,
98,Noah Lehtinen,private,,
99,Jonas Meyer,private,,
100,Elias Wagner,private,,
101,Nora Wagner,private,,
102,Elias Becker,private,,
103,Noah Strom,private,,
104,Ella Meyer,private,,
105,Emma Fischer,private,,
106,Nora Meyer,private,,
107,Mika Karlsson,private,,
108,Ella Wagner,private,,
109,Jonas Becker,private,,
110,Ella Lehtinen,private,,
111,Mia Karlsson,private,,
112,Nora Niemi,private,,
113,Oliver Korhonen,private,,
114,Nora Schneider,private,,
115,Anna Korhonen,private,,
116,Ella Schneider,private,,
117,Julia Niemi,private,,
118,Leo Schneider,private,,
119,Felix Wagner,private,,
120,Mika Karlsson,private,,
121,Lucas Lehtinen,private,,
122,Mia Becker,private,,
123,Lena Karlsson,private,,
124,Anna Wagner,private,,
125,Leo Strom,private,,
126,Lucas Korhonen,private,,
127,Noah Lind,private,,
128,Julia Hansen,private,,
129,Noah Meyer,private,,
130,Mia Hansen,private,,
131,Julia Schneider,private,,
132,Oliver Lehtinen,private,,
133,Mia Wagner,private,,
134,Julia Niemi,private,,
135,Felix Becker,private,,
136,Jonas Strom,private,,
137,Oliver Holm,private,,
138,Oliver Fischer,private,,
139,Lena Hansen,private,,
140,Nora Wagner,private,,
141,Noah Schneider,private,,
142,Nora Hansen,private,,
143,Lucas Lehtinen,private,,
144,Felix Fischer,private,,
145,Leo Lehtinen,private,,
146,Emma Holm,private,,
147,Mika Strom,private,,
148,Julia Strom,private,,
149,Leo Schneider,private,,
150,Felix Holm,private,,
151,Emma Meyer,private,,
152,Lena Fischer,private,,
153,Noah Holm,private,,
154,Lucas Becker,private,,
155,Lucas Schneider,private,,
156,Sofia Lehtinen,private,,
157,Oliver Laine,private,,
158,Mia Laine,private,,
159,Lena Hansen,private,,
160,Felix Becker,private,,
161,Anna Berg,private,,
162,Anna Lehtinen,private,,
163,Lucas Wagner,private,,
164,Felix Holm,private,,
165,Emma Holm,private,,
166,Elias Niemi,private,,
167,Lena Wagner,private,,
168,Jonas Laine,private,,
169,Elias Laine,private,,
170,Ella Fischer,private,,
171,Lena Lind,private,,
172,Elias Virtanen,private,,
173,Elias Wagner,private,,
174,Leo Niemi,private,,
175,Jonas Korhonen,private,,
176,Oliver Laine,private,,
177,Sofia Becker,private,,
178,Lena Schneider,private,,
179,Emma Schneider,private,,
180,Nora Schneider,private,,
181,Lucas Virtanen,private,,
182,Mika Berg,private,,
183,Anna Virtanen,private,,
184,Elias Lehtinen,private,,
185,Emma Hansen,private,,
186,Leo Lind,private,,
187,Leo Niemi,private,,
188,Elias Becker,private,,
189,Sofia Hansen,private,,
190,Lucas Korhonen,private,,
191,Oliver Laine,private,,
192,Emma Meyer,private,,
193,Lucas Virtanen,private,,
194,Elias Schneider,private,,
195,Nora Lehtinen,private,,
196,Lucas Berg,private,,
197,Mika Lind,private,,
