customer_id,name,type,company,business_id
1,Maja Ali,private,,
2,Fatima Larsson,private,,
3,Daniel Persson,private,,
4,Daniel Ekström,private,,
5,Adam Eriksson,private,,
6,Lovisa Olsson,private,,
7,Anna Hassan,private,,
8,Oskar Khan,private,,
9,Projektledning,corporate,Lindgrens Fastighet Service AB,55247478-5843
10,Linus Abdi,private,,
11,Yasmin Andersson,private,,
12,Hugo Karlsson,private,,
13,Fatima Svensson,private,,
14,Sofia Gustafsson,private,,
15,Sara Månsson,private,,
16,Fredrik Svensson,private,,
17,Projektledning,corporate,Bergström Installation AB,55905855-2264
18,Inköpsavdelningen,corporate,Hemfixarna Entreprenad AB,55425977-5230
19,Sara Andersson,private,,
20,Inköpsavdelningen,corporate,Mälardalen Bygg Group AB,55624191-3375
21,Maja Khan,private,,
22,Simon Månsson,private,,
23,Simon Eriksson,private,,
24,Oskar Olsson,private,,
25,Inköpsavdelningen,corporate,Nordbygg Group AB,55636136-5635
26,Alicia Nilsson,private,,
27,Filip Månsson,private,,
28,Alma Nilsson,private,,
29,Projektledning,corporate,City Renovering Service AB,55185604-8015
30,Alma Persson,private,,
31,Ekonomiavdelningen,corporate,Svenska Projekt Group AB,55863598-8408
32,Alma Abdi,private,,
33,Amina Eriksson,private,,
34,Sara Nilsson,private,,
35,Alicia Persson,private,,
36,Filip Gustafsson,private,,
37,Maja Ali,private,,
38,Erik Larsson,private,,
39,Simon Månsson,private,,
40,Nils Svensson,private,,
41,Fredrik Larsson,private,,
42,Lovisa Olsson,private,,
43,Ekonomiavdelningen,corporate,Mälardalen Bygg AB,55482976-5743
44,Johan Andersson,private,,
45,Elias Holm,private,,
46,Emma Ali,private,,
47,Inköpsavdelningen,corporate,Öresund Event AB,55580217-7291
48,Linus Persson,private,,
49,Driftansvarig,corporate,Nordbygg Entreprenad AB,55435725-4443
50,Anton Eriksson,private,,
51,Inköpsavdelningen,corporate,Svenska Projekt Group AB,55613751-8910
52,Erik Andersson,private,,
53,Nils Lindberg,private,,
54,Lovisa Hassan,private,,
55,Oskar Andersson,private,,
56,Nils Persson,private,,
57,Elias Andersson,private,,
58,William Gustafsson,private,,
59,Ida Larsson,private,,
60,Ida Abdi,private,,
61,Inköpsavdelningen,corporate,Stadens Förvaltning Entreprenad AB,55592664-6264
62,Projektledning,corporate,Norrland Energi Service AB,55621789-7819
